"기준_년분기_코드","행정동_코드","행정동_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20223","11590680","신대방2동","5019633","2320401","2699233","752548","827994","882680","847018","683404","1025991","1356514","1054387","587412","575877","788053","657390","724519","725879","726940","722748","708974","695204","715370"
"20223","11620525","보라매동","3439593","1658331","1781264","359529","694689","650247","550368","449754","735007","864199","718350","416050","415834","579795","445366","491015","489413","488864","485409","481937","494196","508758"
"20223","11620545","청림동","2978183","1390157","1588025","538588","321069","474837","507238","401547","734902","918139","595833","288478","294028","453461","428244","424315","417120","414796","409771","411015","443592","457574"
"20223","11620565","성현동","4470688","2078050","2392636","816573","534884","633339","760425","616134","1109333","1299044","919408","464624","474503","704124","608984","637296","628002","624127","620284","622761","656599","681618"
"20223","11620575","행운동","7299809","3446449","3853362","863974","1807266","1467448","982144","809828","1369151","2173521","1541753","784704","755069","1087072","957691","1042443","1036739","1033864","1024364","1024602","1052181","1085618"
"20223","11620585","낙성대동","5953874","2915432","3038442","646257","1972001","1144961","739533","599964","851156","1436706","1142980","693835","702191","1139790","838371","832393","841706","842054","844764","848562","877062","867331"
"20223","11620595","청룡동","10559025","5077154","5481870","976539","3072052","2086043","1292642","1200074","1931675","3008499","2203628","1126258","1105517","1674778","1440347","1507337","1506459","1499379","1492186","1481318","1514419","1557928"
"20223","11620605","은천동","8998437","4251705","4746733","1233822","1539156","1536711","1399127","1226303","2063317","2504333","1839171","981737","987960","1476425","1208811","1282557","1273207","1258432","1251872","1255371","1323536","1353460"
"20223","11620615","중앙동","5560510","2641381","2919129","535694","1407177","1109556","769603","667033","1071446","1505108","1121303","609771","627774","947683","748871","785986","783328","780992","781582","780219","822641","825761"
"20223","11620625","인헌동","6425584","2972717","3452867","797720","1475510","1285932","892637","777987","1195800","1831350","1352204","669651","656127","1025996","890258","918193","913212","909830","905993","901160","922857","954338"
"20223","11620630","남현동","4598631","2170504","2428127","573192","853702","819846","638617","645501","1067773","1266854","960851","497766","498886","758099","616176","654924","653578","649877","650838","651909","666238","671267"
"20223","11620645","서원동","5686144","2865210","2820935","494129","1544236","1173923","721435","684329","1068092","1607824","1148065","604031","607021","931506","787696","801297","791607","790632","788984","796495","850990","866141"
