"행정구역명","학원/교습소","학원지정번호","학원명","도로명주소","도로명상세주소","분야명","교습계열명","교습과정목록명","교습과정명","정원합계","일시수용능력인원합계","인당수강료내용","수강료공개여부","기숙사학원여부","도로명우편번호","등록상태명","등록일자","휴원시작일자","휴원종료일자","개설일자","적재일시"
"마포구","교습소","3000034964","뮤직스토리피아노음악교습소","서울특별시 마포구 마포대로24길 4",", 406호, 407호 (아현동, 공덕자이아파트 상가)","예능(대)","예능(중)","피아노초급","음악","15","9","피아노초급:150000, 피아노중급:160000, 피아노고급:170000","Y","N","04202","개원","20190712","","99991231","20190712","20231018"
"마포구","학원","3000034966","카이수학전문2관학원","서울특별시 마포구 백범로 67",", 6층 (신수동, 한경빌딩)","입시.검정 및 보습","보통교과","보습,","보습","195","70","","Y","N","04111","개원","20190717","","99991231","20190717","20231018"
"마포구","교습소","3000035003","커넥트(CONNECT)독서논술교습소","서울특별시 마포구 마포대로24길 4",", 상가1동 205호 (아현동, 공덕자이아파트 상가)","입시.검정 및 보습","보통교과","초등국어","보습?논술","18","9","","Y","N","04202","개원","20190726","","99991231","20190726","20231018"
"마포구","학원","3000035005","마포포스과학전문학원","서울특별시 마포구 독막로 257-1",", 온달빌딩 3층 (대흥동)","입시.검정 및 보습","보통교과","","보습","70","70","","Y","N","04151","개원","20190723","","99991231","20190723","20231018"
"마포구","학원","3000035014","소리팩토리아카데미화술학원","서울특별시 마포구 와우산로 133-1",", 2층 (서교동)","기예(대)","기예(중)","","화술","42","45","","Y","N","04053","개원","20190809","","99991231","20190809","20231018"
"마포구","학원","3000035015","모리영어전문학원","서울특별시 마포구 신촌로 254",", 5층 (아현동, 엘케이빌딩)","입시.검정 및 보습","보통교과","","보습","50","70","","Y","N","04115","개원","20190731","","99991231","20190731","20231018"
"마포구","학원","3000035016","플래뮤아현미술학원","서울특별시 마포구 마포대로 201",", 213호 (아현동, 마포트라팰리스2차)","예능(대)","예능(중)","","미술","20","50","","Y","N","04130","개원","20190809","","99991231","20190809","20231018"
"마포구","교습소","3000035064","김경하영어교습소","서울특별시 마포구 숭문길 98",", 상가동 210호 (염리동, 마포자이3차)","입시.검정 및 보습","보통교과","","보습","12","4","","Y","N","04127","개원","20190813","","99991231","20190813","20231018"
"마포구","교습소","3000035065","에픽클래스영어교습소","서울특별시 마포구 월드컵로25길 83",", 상가1층 우측 (망원동)","국제화","외국어","초등영어(초급)","실용외국어(유아/초?중?고)","20","5","초등영어(초급):200000, 초등영어(중급):210000, 초등영어(고급):220000, 중등영어(중등):280000","Y","N","03958","개원","20190814","","99991231","20190814","20231018"
"마포구","학원","3000035081","에듀윌공인중개사학원","서울특별시 마포구 양화로 196",", 4층 (동교동, 동성빌딩)","직업기술","","부동산,","","5850","150","","Y","N","04056","개원","20190823","","99991231","20190823","20231018"
"마포구","학원","3000035092","대치써미트영어학원","서울특별시 마포구 독막로 278-4",", 202호, 301~302호 (대흥동, LS building)","입시.검정 및 보습","보통교과","보습,","보습","140","130","","Y","N","04152","개원","20190820","","99991231","20190820","20231018"
"마포구","교습소","3000035150","토익만점홍선생영어교습소","서울특별시 마포구 백범로 77",", 2층(실3층) (신수동, 블룸빌딩)","입시.검정 및 보습","보통교과","중등영어초급","보습","40","8","중등영어초급:270000, 중등영어고급:300000, 고등영어초급:330000, 고등영어고급:360000, 초등영어:270000","Y","N","04111","개원","20190903","","99991231","20190903","20231018"
"마포구","학원","3000035160","씨엠에스에듀마포영재관학원","서울특별시 마포구 대흥로 51",", 2,3,4층 (대흥동, 새영빌딩)","입시.검정 및 보습","보통교과","보습,","보습","180","250","","Y","N","04090","개원","20190830","","99991231","20190830","20231018"
"마포구","학원","3000035172","에덴음악학원","서울특별시 마포구 망원로3길 34",", 1층 (망원동)","예능(대)","예능(중)","음악,","음악","30","50","","Y","N","03959","개원","20190820","","99991231","20190820","20231018"
"마포구","학원","3000035297","목동DMC수학전문학원","서울특별시 마포구 월드컵북로 434",", 211호, 212호 (상암동, 상암 IT Tower)","입시.검정 및 보습","보통교과","보습,","보습","24","76","","Y","N","03922","개원","20190906","","99991231","20190906","20231018"
"마포구","학원","3000035298","기파랑문해원2관마포학원","서울특별시 마포구 백범로 21",", 8층 (노고산동, 에버빌딩)","입시.검정 및 보습","보통교과","","보습","24","70","","Y","N","04108","개원","20190911","","99991231","20190911","20231105"
"마포구","교습소","3000035302","줄기글방독서토론논술교습소","서울특별시 마포구 월드컵로42길 40",", 220호 (상암동, 상암근린상가)","입시.검정 및 보습","보통교과","초등 논술2","보습?논술","36","6","초등 논술2:150000, 초등 논술3:130000, 초등 논술5:150000, 초등역사논술:150000, 중등논술:180000, 중등논술B:70000","Y","N","03905","개원","20190916","","99991231","20190916","20231018"
