지역별(1),지역별(2),구분별(1),구분별(2),2022 3/4,2023    
강남,테헤란로,수익률 종합 (%),투자수익률,1.63,0.76
강남,테헤란로,수익률 종합 (%),소득수익률,0.45,0.72
강남,테헤란로,수익률 종합 (%),자본수익률,1.18,0.03
강남,학동/강남구청역,임대료 (천원/㎡),소계,49.2,49.6
강남,학동/강남구청역,공실률 (%),소계,8.1,8.5
강남,학동/강남구청역,수익률 종합 (%),투자수익률,1.36,0.41
강남,학동/강남구청역,수익률 종합 (%),소득수익률,0.28,0.49
강남,학동/강남구청역,수익률 종합 (%),자본수익률,1.08,-0.08
영등포신촌지역,소계,임대료 (천원/㎡),소계,47.2,47.1
영등포신촌지역,소계,공실률 (%),소계,9.1,9
영등포신촌지역,소계,수익률 종합 (%),투자수익률,1.65,0.55
영등포신촌지역,소계,수익률 종합 (%),소득수익률,0.49,0.73
영등포신촌지역,소계,수익률 종합 (%),자본수익률,1.15,-0.17
영등포신촌지역,공덕역,임대료 (천원/㎡),소계,39,39
영등포신촌지역,공덕역,공실률 (%),소계,6.7,6.7
영등포신촌지역,공덕역,수익률 종합 (%),투자수익률,1.77,0.34
영등포신촌지역,공덕역,수익률 종합 (%),소득수익률,0.49,0.76
영등포신촌지역,공덕역,수익률 종합 (%),자본수익률,1.28,-0.42
영등포신촌지역,당산역,임대료 (천원/㎡),소계,29.6,29.5
영등포신촌지역,당산역,공실률 (%),소계,11.7,11.7
영등포신촌지역,당산역,수익률 종합 (%),투자수익률,1.41,0.77
영등포신촌지역,당산역,수익률 종합 (%),소득수익률,0.6,0.81
영등포신촌지역,당산역,수익률 종합 (%),자본수익률,0.82,-0.04
영등포신촌지역,동교연남,임대료 (천원/㎡),소계,43.8,43.7
영등포신촌지역,동교연남,공실률 (%),소계,0.9,0.9
영등포신촌지역,동교연남,수익률 종합 (%),투자수익률,2.25,0.53
영등포신촌지역,동교연남,수익률 종합 (%),소득수익률,0.51,0.72
영등포신촌지역,동교연남,수익률 종합 (%),자본수익률,1.74,-0.19
영등포신촌지역,망원역,임대료 (천원/㎡),소계,32.7,32.4
영등포신촌지역,망원역,공실률 (%),소계,1.7,1.7
영등포신촌지역,망원역,수익률 종합 (%),투자수익률,1.85,0.54
영등포신촌지역,망원역,수익률 종합 (%),소득수익률,0.52,0.72
영등포신촌지역,망원역,수익률 종합 (%),자본수익률,1.33,-0.17
영등포신촌지역,신촌이대,임대료 (천원/㎡),소계,63.4,63.3
영등포신촌지역,신촌이대,공실률 (%),소계,10.3,9.1
영등포신촌지역,신촌이대,수익률 종합 (%),투자수익률,1.56,0.41
영등포신촌지역,신촌이대,수익률 종합 (%),소득수익률,0.5,0.75
영등포신촌지역,신촌이대,수익률 종합 (%),자본수익률,1.07,-0.34
영등포신촌지역,영등포,임대료 (천원/㎡),소계,39.5,39.5
영등포신촌지역,영등포,공실률 (%),소계,13.1,13.2
영등포신촌지역,영등포,수익률 종합 (%),투자수익률,1.34,0.65
영등포신촌지역,영등포,수익률 종합 (%),소득수익률,0.42,0.67
영등포신촌지역,영등포,수익률 종합 (%),자본수익률,0.92,-0.02
영등포신촌지역,홍대합정,임대료 (천원/㎡),소계,67,67
영등포신촌지역,홍대합정,공실률 (%),소계,11.9,12.2
영등포신촌지역,홍대합정,수익률 종합 (%),투자수익률,1.7,0.59
영등포신촌지역,홍대합정,수익률 종합 (%),소득수익률,0.48,0.72
영등포신촌지역,홍대합정,수익률 종합 (%),자본수익률,1.21,-0.13
기타,소계,임대료 (천원/㎡),소계,46.2,46.2
기타,소계,공실률 (%),소계,7.7,7.8
기타,소계,수익률 종합 (%),투자수익률,1.48,0.66
기타,소계,수익률 종합 (%),소득수익률,0.48,0.7
기타,소계,수익률 종합 (%),자본수익률,1.01,-0.03
기타,가락시장,임대료 (천원/㎡),소계,39,38.5
기타,가락시장,공실률 (%),소계,9.4,11.5
기타,가락시장,수익률 종합 (%),투자수익률,1.32,0.64
기타,가락시장,수익률 종합 (%),소득수익률,0.29,0.54
기타,가락시장,수익률 종합 (%),자본수익률,1.03,0.1
기타,건대입구,임대료 (천원/㎡),소계,69.2,69.1
기타,건대입구,공실률 (%),소계,4.4,4.4
기타,건대입구,수익률 종합 (%),투자수익률,1.46,0.33
기타,건대입구,수익률 종합 (%),소득수익률,0.38,0.57
기타,건대입구,수익률 종합 (%),자본수익률,1.08,-0.24
기타,경희대학교,임대료 (천원/㎡),소계,49,49.1
기타,경희대학교,공실률 (%),소계,2.7,2.5
기타,경희대학교,수익률 종합 (%),투자수익률,1.49,0.37
기타,경희대학교,수익률 종합 (%),소득수익률,0.56,0.75
기타,경희대학교,수익률 종합 (%),자본수익률,0.93,-0.39
기타,구로디지털단지역,임대료 (천원/㎡),소계,44,44
기타,구로디지털단지역,공실률 (%),소계,10.1,13.1
기타,구로디지털단지역,수익률 종합 (%),투자수익률,1.4,0.63
기타,구로디지털단지역,수익률 종합 (%),소득수익률,0.48,0.68
기타,구로디지털단지역,수익률 종합 (%),자본수익률,0.92,-0.05
기타,구의역,임대료 (천원/㎡),소계,38.6,38.7
기타,구의역,공실률 (%),소계,2.5,2.5
기타,구의역,수익률 종합 (%),투자수익률,1.3,0.14
기타,구의역,수익률 종합 (%),소득수익률,0.43,0.59
기타,구의역,수익률 종합 (%),자본수익률,0.87,-0.45
기타,군자,임대료 (천원/㎡),소계,35.8,35.8
기타,군자,공실률 (%),소계,7.7,8.4
기타,군자,수익률 종합 (%),투자수익률,1.31,0.72
기타,군자,수익률 종합 (%),소득수익률,0.41,0.63
기타,군자,수익률 종합 (%),자본수익률,0.9,0.1
기타,노량진,임대료 (천원/㎡),소계,47.4,47.3
기타,노량진,공실률 (%),소계,7.4,7.4
기타,노량진,수익률 종합 (%),투자수익률,1.03,0.94
기타,노량진,수익률 종합 (%),소득수익률,0.57,0.75
기타,노량진,수익률 종합 (%),자본수익률,0.46,0.19
기타,독산시흥,임대료 (천원/㎡),소계,33.2,33.2
기타,독산시흥,공실률 (%),소계,13,15.5
기타,독산시흥,수익률 종합 (%),투자수익률,1.02,0.84
기타,독산시흥,수익률 종합 (%),소득수익률,0.54,0.73
기타,독산시흥,수익률 종합 (%),자본수익률,0.48,0.12
기타,뚝섬,임대료 (천원/㎡),소계,43.7,43.8
기타,뚝섬,공실률 (%),소계,2.6,2.6
기타,뚝섬,수익률 종합 (%),투자수익률,2.58,0.62
기타,뚝섬,수익률 종합 (%),소득수익률,0.31,0.43
기타,뚝섬,수익률 종합 (%),자본수익률,2.26,0.19
기타,목동,임대료 (천원/㎡),소계,33.6,33.6
기타,목동,공실률 (%),소계,8.5,8.3
기타,목동,수익률 종합 (%),투자수익률,1.24,0.78
기타,목동,수익률 종합 (%),소득수익률,0.62,0.83
기타,목동,수익률 종합 (%),자본수익률,0.62,-0.05
기타,미아사거리,임대료 (천원/㎡),소계,38.5,38.6
기타,미아사거리,공실률 (%),소계,12.6,12.7
기타,미아사거리,수익률 종합 (%),투자수익률,1.29,0.5
기타,미아사거리,수익률 종합 (%),소득수익률,0.57,0.73
기타,미아사거리,수익률 종합 (%),자본수익률,0.72,-0.23
기타,불광역,임대료 (천원/㎡),소계,38.6,38.5
기타,불광역,공실률 (%),소계,14.9,14.9
기타,불광역,수익률 종합 (%),투자수익률,1.22,0.54
기타,불광역,수익률 종합 (%),소득수익률,0.67,0.8
기타,불광역,수익률 종합 (%),자본수익률,0.55,-0.26
기타,사당,임대료 (천원/㎡),소계,59.9,59.9
기타,사당,공실률 (%),소계,9.1,10.1
기타,사당,수익률 종합 (%),투자수익률,1.28,1.21
기타,사당,수익률 종합 (%),소득수익률,0.53,0.74
기타,사당,수익률 종합 (%),자본수익률,0.75,0.47
기타,상계역,임대료 (천원/㎡),소계,29.7,29.6
기타,상계역,공실률 (%),소계,8.5,7.6
기타,상계역,수익률 종합 (%),투자수익률,1.45,0.5
기타,상계역,수익률 종합 (%),소득수익률,0.6,0.79
기타,상계역,수익률 종합 (%),자본수익률,0.85,-0.3
기타,상봉역,임대료 (천원/㎡),소계,39,39
기타,상봉역,공실률 (%),소계,8.8,6.5
기타,상봉역,수익률 종합 (%),투자수익률,1.32,0.29
기타,상봉역,수익률 종합 (%),소득수익률,0.39,0.58
기타,상봉역,수익률 종합 (%),자본수익률,0.93,-0.29
기타,서울대입구역,임대료 (천원/㎡),소계,80.2,80.2
기타,서울대입구역,공실률 (%),소계,6.1,9.1
기타,서울대입구역,수익률 종합 (%),투자수익률,1.46,0.83
기타,서울대입구역,수익률 종합 (%),소득수익률,0.73,0.94
기타,서울대입구역,수익률 종합 (%),자본수익률,0.72,-0.11
기타,성신여자대학교,임대료 (천원/㎡),소계,47.6,47.5
기타,성신여자대학교,공실률 (%),소계,10.6,10.6
기타,성신여자대학교,수익률 종합 (%),투자수익률,1.75,0.65
기타,성신여자대학교,수익률 종합 (%),소득수익률,0.72,0.97
기타,성신여자대학교,수익률 종합 (%),자본수익률,1.03,-0.33
기타,수유,임대료 (천원/㎡),소계,49.8,50
기타,수유,공실률 (%),소계,4.3,3.8
기타,수유,수익률 종합 (%),투자수익률,1.41,0.62
기타,수유,수익률 종합 (%),소득수익률,0.58,0.86
기타,수유,수익률 종합 (%),자본수익률,0.83,-0.24
기타,숙명여자대학교,임대료 (천원/㎡),소계,38.7,38.8
기타,숙명여자대학교,공실률 (%),소계,6.1,7.2
