"기준_년분기_코드","행정동_코드","행정동_코드_명","총_상주인구_수","남성_상주인구_수","여성_상주인구_수","연령대_10_상주인구_수","연령대_20_상주인구_수","연령대_30_상주인구_수","연령대_40_상주인구_수","연령대_50_상주인구_수","연령대_60_이상_상주인구_수","남성연령대_10_상주인구_수","남성연령대_20_상주인구_수","남성연령대_30_상주인구_수","남성연령대_40_상주인구_수","남성연령대_50_상주인구_수","남성연령대_60_이상_상주인구_수","여성연령대_10_상주인구_수","여성연령대_20_상주인구_수","여성연령대_30_상주인구_수","여성연령대_40_상주인구_수","여성연령대_50_상주인구_수","여성연령대_60_이상_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수"
"20211","11410660","홍은1동","22956","11085","11871","3264","2921","2994","3450","3966","6361","1647","1466","1519","1687","1950","2816","1617","1455","1475","1763","2016","3545","9716","0","9716"
"20211","11410685","홍은2동","26960","13019","13941","3464","4245","3479","3999","4588","7185","1763","2139","1822","1971","2192","3132","1701","2106","1657","2028","2396","4053","12304","0","12304"
"20211","11410690","남가좌1동","15900","7657","8243","3606","1553","2487","3089","2130","3035","1774","753","1104","1630","1043","1353","1832","800","1383","1459","1087","1682","5889","0","5889"
"20211","11410700","남가좌2동","30036","14498","15538","5089","4293","4609","4921","4409","6715","2535","2087","2273","2490","2177","2936","2554","2206","2336","2431","2232","3779","13308","0","13308"
"20211","11410710","북가좌1동","18445","8896","9549","3394","2173","2402","3277","3020","4179","1769","1051","1125","1637","1447","1867","1625","1122","1277","1640","1573","2312","6990","0","6990"
"20211","11410720","북가좌2동","32607","15868","16739","4116","4817","4306","5035","5442","8891","2121","2443","2225","2462","2627","3990","1995","2374","2081","2573","2815","4901","14785","0","14785"
"20211","11440555","아현동","25772","12061","13711","4469","3208","5156","4239","3878","4822","2155","1421","2382","2127","1859","2117","2314","1787","2774","2112","2019","2705","10610","0","10610"
"20211","11440565","공덕동","37964","17907","20057","4584","6428","6526","5543","6396","8487","2344","2820","3154","2748","3136","3705","2240","3608","3372","2795","3260","4782","18628","0","18628"
"20211","11440585","도화동","21763","10454","11309","3114","3007","3633","3231","3484","5294","1671","1449","1758","1549","1679","2348","1443","1558","1875","1682","1805","2946","9539","0","9539"
"20211","11440590","용강동","21842","10278","11564","4294","2232","3775","4430","2940","4171","2082","1027","1722","2136","1469","1842","2212","1205","2053","2294","1471","2329","9300","0","9300"
"20211","11440600","대흥동","14388","6943","7445","1565","3355","2375","2090","2036","2967","830","1511","1201","1045","1069","1287","735","1844","1174","1045","967","1680","8385","0","8385"
"20211","11440610","염리동","12125","5839","6286","2088","1801","1869","2190","1765","2412","1045","869","901","1107","886","1031","1043","932","968","1083","879","1381","5677","0","5677"
"20211","11440630","신수동","23146","11271","11875","3604","3477","3770","3911","3566","4818","1913","1749","1834","1839","1785","2151","1691","1728","1936","2072","1781","2667","10213","0","10213"
"20211","11440655","서강동","24664","11742","12922","3605","4648","4109","4000","3678","4624","1832","2224","1937","1920","1751","2078","1773","2424","2172","2080","1927","2546","11619","0","11619"
"20211","11440660","서교동","23682","10810","12872","1830","5964","5177","3499","2754","4458","914","2494","2421","1719","1338","1924","916","3470","2756","1780","1416","2534","14891","0","14891"
"20211","11440680","합정동","19846","9219","10627","2303","3878","3956","2888","2722","4099","1149","1722","1882","1381","1299","1786","1154","2156","2074","1507","1423","2313","10285","0","10285"
"20211","11440690","망원1동","20802","9777","11025","2377","3494","3922","3265","2974","4770","1185","1626","1868","1584","1468","2046","1192","1868","2054","1681","1506","2724","10513","0","10513"
"20211","11440700","망원2동","19023","8954","10069","2766","2909","2976","3266","2821","4285","1375","1343","1408","1605","1387","1836","1391","1566","1568","1661","1434","2449","8571","0","8571"
"20211","11440710","연남동","15575","7355","8220","1429","3229","3101","2336","2033","3447","743","1496","1506","1172","958","1480","686","1733","1595","1164","1075","1967","8854","0","8854"
"20211","11440720","성산1동","19357","9097","10260","2453","3135","3401","3329","2884","4155","1204","1473","1643","1593","1367","1817","1249","1662","1758","1736","1517","2338","9419","0","9419"
"20211","11440730","성산2동","40394","18378","22016","6010","6782","6742","6586","5765","8509","3097","2723","3065","3170","2809","3514","2913","4059","3677","3416","2956","4995","19041","0","19041"
"20211","11440740","상암동","31404","14976","16428","6769","4296","4026","6183","4503","5627","3459","1944","1836","2951","2341","2445","3310","2352","2190","3232","2162","3182","12766","0","12766"
"20211","11470510","목1동","31563","15159","16404","8109","3423","3302","6956","5008","4765","4075","1669","1392","3172","2622","2229","4034","1754","1910","3784","2386","2536","10556","0","10556"
"20211","11470520","목2동","30445","14797","15648","4279","5011","5248","4629","4952","6326","2227","2449","2685","2219","2342","2875","2052","2562","2563","2410","2610","3451","13239","0","13239"
"20211","11470530","목3동","22470","10726","11744","2922","3560","4033","3216","3652","5087","1564","1729","1974","1542","1653","2264","1358","1831","2059","1674","1999","2823","10117","0","10117"
"20211","11470540","목4동","25946","12676","13270","4779","4172","2819","4581","4843","4752","2501","2196","1397","2031","2401","2150","2278","1976","1422","2550","2442","2602","10128","0","10128"
"20211","11470550","목5동","42205","20895","21310","11030","4518","4004","9236","6680","6737","5957","2345","1744","4130","3455","3264","5073","2173","2260","5106","3225","3473","13578","0","13578"
"20211","11470560","신월1동","20959","10757","10202","2336","2696","2770","3113","3915","6129","1198","1430","1526","1624","2051","2928","1138","1266","1244","1489","1864","3201","10203","0","10203"
"20211","11470570","신월2동","21351","10461","10890","3225","2709","3045","3335","3356","5681","1617","1401","1550","1692","1627","2574","1608","1308","1495","1643","1729","3107","8607","0","8607"
"20211","11470580","신월3동","15749","8297","7452","2039","2040","2036","2245","2962","4427","1075","1066","1110","1256","1628","2162","964","974","926","989","1334","2265","8040","0","8040"
"20211","11470590","신월4동","18411","9050","9361","3120","2186","2512","3051","2841","4701","1617","1137","1244","1550","1376","2126","1503","1049","1268","1501","1465","2575","6961","0","6961"
"20211","11470600","신월5동","15055","7459","7596","2281","2154","2110","2308","2549","3653","1195","1094","1114","1145","1215","1696","1086","1060","996","1163","1334","1957","6487","0","6487"
"20211","11470610","신월6동","13741","6769","6972","2688","1606","2583","2159","2032","2673","1365","816","1294","1081","978","1235","1323","790","1289","1078","1054","1438","5226","0","5226"
"20211","11470611","신월7동","20514","10068","10446","2446","2659","2642","2986","3601","6180","1259","1407","1392","1549","1759","2702","1187","1252","1250","1437","1842","3478","9234","0","9234"
"20211","11470620","신정1동","20964","10227","10737","4914","2473","2078","4116","3542","3841","2536","1254","908","1933","1817","1779","2378","1219","1170","2183","1725","2062","7213","0","7213"
"20211","11470630","신정2동","20051","9822","10229","4278","2592","1811","3814","3625","3931","2208","1334","845","1760","1857","1818","2070","1258","966","2054","1768","2113","7141","0","7141"
"20211","11470640","신정3동","46374","22599","23775","8701","5912","5752","8007","7827","10175","4478","3059","2826","3872","3820","4544","4223","2853","2926","4135","4007","5631","17831","0","17831"
"20211","11470650","신정4동","33533","16434","17099","4030","5286","5095","5263","5421","8438","2089","2536","2705","2624","2606","3874","1941","2750","2390","2639","2815","4564","16066","0","16066"
"20211","11470670","신정6동","25017","12160","12857","5769","3198","2749","4744","4416","4141","2975","1640","1222","2137","2199","1987","2794","1558","1527","2607","2217","2154","8300","0","8300"
"20211","11470680","신정7동","29891","14452","15439","5458","3604","3231","5210","5281","7107","2815","1880","1541","2501","2615","3100","2643","1724","1690","2709","2666","4007","11604","0","11604"
"20211","11500510","염창동","41853","20346","21507","8696","5432","7332","7676","5956","6761","4472","2518","3483","3759","2925","3189","4224","2914","3849","3917","3031","3572","15820","0","15820"
"20211","11500520","등촌1동","24118","11283","12835","2654","4989","6008","3255","3033","4179","1455","1994","2894","1605","1474","1861","1199","2995","3114","1650","1559","2318","13153","0","13153"
"20211","11500530","등촌2동","21104","10340","10764","2962","3315","3540","3071","3453","4763","1604","1658","1791","1495","1601","2191","1358","1657","1749","1576","1852","2572","8766","0","8766"
"20211","11500535","등촌3동","31490","15009","16481","3782","4182","4663","3927","5370","9566","1969","2152","2403","1873","2461","4151","1813","2030","2260","2054","2909","5415","15067","0","15067"
